Name of Monitoring Station,Year,Sampling Month,pH,BOD (mg/L),COD (mg/L),Total Dissolved Solids,Total Coliform (MPN/100),Latitude,Longitude
Abbigere Lake,2024,April,8.3,8.0,92.0,571.0186399723852,2400.0,13.0791175,77.52872073
Sarakki Lake,2024,April,8.2,6.8,68.0,571.0186399723852,7000.0,12.89941681,77.57913342
Yelachenahalli Lake,2024,April,8.1,6.0,56.0,571.0186399723852,7900.0,12.89926437,77.56547215
Yediyur Tank,2024,April,8.1,13.0,124.0,571.0186399723852,4800.0,12.9575,77.5645
Kempambudhi Tank,2024,April,8.0,12.0,128.0,571.0186399723852,9400.0,12.9507,77.5844
Lalbagh Tank,2024,April,8.2,5.0,48.0,571.0186399723852,13000.0,12.9069,77.6161
Bhattarahalli Lake,2024,April,8.5,12.0,121.0,571.0186399723852,3500.0,13.02479566,77.7086534
"Kannamangala Lake Hoskote Main Road , Bengalore",2024,April,7.9,13.0,129.0,571.0186399723852,7000.0,13.02935241,77.77426959
"Basavanapura Lake Ayyappa Nagr Main Road , K. R. Puram , Bengaluru",2024,April,7.1,15.0,151.0,571.0186399723852,9400.0,12.917994,77.538601
Kalkere Tank,2024,April,7.8,21.0,175.0,571.0186399723852,49000.0,13.0435,77.5141
Rampura Lake,2024,April,7.4,24.0,196.0,571.0186399723852,48000.0,13.04831239,77.69012069
Benniganahalli Lake,2024,April,8.1,6.0,60.0,571.0186399723852,4600.0,12.99772381,77.66545556
Yelemallappa Shetty Lake,2024,April,8.2,15.0,140.0,571.0186399723852,4900.0,12.9714,77.6953
Vengaiyyanakere( Kr Puram Lake ),2024,April,8.2,18.0,172.0,571.0186399723852,14000.0,13.01632597,77.6999225
Devasandra Lake,2024,April,8.2,87.0,364.0,571.0186399723852,4900.0,13.00543793,77.69382235
"Segehalli Lake Baavanapura Road Battarahalli , Bangalore East",2024,April,7.6,140.0,436.0,571.0186399723852,11000.0,12.838238,77.303921
Kammagondanahalli Lake,2024,April,7.0,24.0,160.0,571.0186399723852,4100.0,13.06872462,77.52323601
Madhure Tank,2024,April,6.8,7.0,72.0,571.0186399723852,13000.0,12.995823,77.474609
Anekal Doddakere Tank,2024,April,7.6,20.0,170.0,571.0186399723852,9400.0,12.87466479,77.78340625
Jigani Tank,2024,April,7.9,10.0,103.0,571.0186399723852,1700.0,12.79585704,77.63284772
Garudacharpalya Tank,2024,April,8.1,7.0,72.0,571.0186399723852,3500.0,12.99262062,77.69630153
Chinnappanahalli Lake,2024,April,8.5,17.0,156.0,571.0186399723852,4600.0,12.96611529,77.70675679
"Mahadevpuraã¢   Lake, K. R. Puram , Bangalore East Taluka",2024,April,9.1,9.0,100.0,571.0186399723852,7900.0,13.113666,77.571138
Doddanekkundi Lake,2024,April,7.6,7.0,72.0,571.0186399723852,1700.0,13.0062,77.6811
"Munekolalu Lake ,Marathahalli, East Taluka ,Bengaluru",2024,April,7.4,7.0,80.0,571.0186399723852,13000.0,12.992362,77.469581
Varthur Lake,2024,April,7.2,26.0,184.0,571.0186399723852,1700000.0,13.0287,77.6685
Sheelavanta-Whitefield Lake,2024,April,7.6,58.0,292.0,571.0186399723852,11000.0,12.96463102,77.74265937
Pattandur Agrahara Lake,2024,April,7.9,39.0,220.0,571.0186399723852,6300.0,12.97655779,77.74570003
Kundalahalli Lake,2024,April,8.2,27.0,184.0,571.0186399723852,3500.0,12.96854049,77.72057586
"Hoodi (Rajapalya Lake) Itpl Main Road, Near Hoodi,Bengaluru",2024,April,8.3,58.0,292.0,571.0186399723852,9400.0,12.91655,77.542009
Seetharampalya Lake,2024,April,7.7,41.0,236.0,571.0186399723852,2400.0,12.98248112,77.71330594
Tubarahalli Tank,2024,April,7.7,7.0,88.0,571.0186399723852,3500.0,12.958187,77.725785
Hoskere Lake,2024,April,6.9,79.0,357.0,571.0186399723852,3500.0,12.92672778,77.48054898
Subramanyapura Tank,2024,April,7.0,81.0,393.0,571.0186399723852,9400.0,12.89668663,77.54331633
Nayandanahalli Tank,2024,April,7.9,4.0,45.0,571.0186399723852,1400.0,13.1162,77.5759
Devarakere Tank,2024,April,8.1,5.0,52.0,571.0186399723852,3500.0,12.89808367,77.5543472
Dhorekere Tank,2024,April,7.6,90.0,444.0,571.0186399723852,7000.0,12.93017436,77.494945
Sompura Lake,2024,April,6.5,30.0,168.0,571.0186399723852,4600.0,12.87447508,77.49860778
Hosakerehalli Lake,2024,April,8.3,9.0,80.0,571.0186399723852,13000.0,12.92636311,77.53384359
Chinnakurchi Kere,2024,April,7.6,84.0,312.0,571.0186399723852,33000.0,12.82129367,77.46615876
Malathahalli Lake,2024,April,7.4,58.0,220.0,571.0186399723852,3500.0,12.96467512,77.49507669
Kengeri Tank,2024,April,7.2,8.0,92.0,571.0186399723852,1700.0,12.91685922,77.48789417
Herohalli Tank,2024,April,7.2,23.0,156.0,571.0186399723852,4900.0,13.1368,77.4851
Andhrahalli Lake,2024,April,8.1,25.0,168.0,571.0186399723852,11000.0,13.01026314,77.48646759
Dasarahalli Tank,2024,April,7.5,18.0,118.0,571.0186399723852,3300.0,13.0232,77.7288
Chikkabanavara Lake,2024,April,7.1,22.0,149.0,571.0186399723852,2800.0,13.08356016,77.50682992
"Shettihalli Lake, Mallasandra Gudde Lake Bengaluru",2024,April,7.3,24.0,158.0,571.0186399723852,2400.0,13.08273,77.326577
Doddabidarakallu Lake,2024,April,7.6,58.0,296.0,571.0186399723852,2300000.0,13.04339075,77.49562264
Anchepalya Lake,2024,April,7.8,54.0,276.0,571.0186399723852,7900.0,13.0012,77.4842
Hesaraghatta Lake,2024,April,7.7,5.0,52.0,571.0186399723852,1600.0,13.0415,77.6152
Ramammana Kere,2024,April,7.9,7.0,84.0,571.0186399723852,1100.0,12.96089629,77.22799123
Gangondanahalli Lake,2024,April,7.8,78.0,304.0,571.0186399723852,46000.0,12.99954081,77.4646815
Machohalli Lake,2024,April,7.7,20.0,168.0,571.0186399723852,1400.0,13.01318643,77.4546073
Kachohalli Lake,2024,April,7.9,90.0,352.0,571.0186399723852,94000.0,13.01365684,77.45596987
"Kannahalli Lake Kannahalli, Bengaluru",2024,April,8.1,4.0,52.0,571.0186399723852,1700.0,12.96824687,77.46185005
Uttarahalli Doraikere,2024,April,6.5,60.0,277.0,571.0186399723852,17000.0,12.90305626,77.55084832
River Arkavathi At Tippagondanahalli Reservoir,2024,April,7.2,30.0,157.0,571.0186399723852,540.0,12.966127,77.336189
Ulsoor Lake Training Centre Of Fish Breeding,2024,March,8.2,7.0,84.0,272.0,4800.0,12.9825,77.6191
River Arkavathi At Tippagondanahalli Reservoir,2024,March,8.6,15.0,140.0,938.0,790.0,12.966127,77.336189
Madiwala Tank,2024,March,7.13,6.0,55.0,476.0,7900.0,12.9734,77.3444
Lalbagh Tank,2024,March,7.4,4.0,43.0,418.0,49000.0,12.9069,77.6161
Kempambudhi Tank,2024,March,7.0,20.0,163.0,384.0,23000.0,12.9507,77.5844
Yediyur Tank,2024,March,6.9,19.0,160.0,216.0,33000.0,12.9575,77.5645
Ulsoor Lake Temple,2024,March,8.2,7.0,88.0,264.0,9400.0,12.9288,77.5794
Sankey Tank,2024,March,7.9,7.0,66.0,408.0,3500.0,12.982,77.621
Byrasandra Tank,2024,March,8.5,6.0,56.0,270.0,17000.0,13.0064,77.5755
Nayandanahalli Tank,2024,March,7.8,11.0,104.0,640.0,3500.0,13.1162,77.5759
Hesaraghatta Lake,2024,March,7.0,7.0,65.0,286.0,1600.0,13.0415,77.6152
Herohalli Tank,2024,March,7.1,4.0,44.0,364.0,9400.0,13.1368,77.4851
Anchepalya Lake,2024,March,6.7,8.0,76.0,304.0,9400.0,13.0012,77.4842
Karihobanahalli Lake,2024,March,7.7,28.0,168.0,1998.0,2300000.0,13.0294,77.5147
Bellandur Lake,2024,March,7.1,8.0,96.0,432.0,13000.0,13.0189,77.4912
Vengaiyyanakere( Kr Puram Lake ),2024,March,7.1,21.0,155.0,1048.0,3500.0,13.01632597,77.6999225
Doddanekkundi Lake,2024,March,7.6,11.0,103.0,1536.0,7000.0,13.0062,77.6811
Yelemallappa Shetty Lake,2024,March,7.0,5.0,60.0,1204.0,2400.0,12.9714,77.6953
Dasarahalli Tank,2024,March,6.7,18.0,120.0,280.0,24000.0,13.0232,77.7288
Kalkere Tank,2024,March,7.7,148.0,992.0,864.0,9400.0,13.0435,77.5141
Varthur Lake,2024,March,7.4,81.0,228.0,922.0,4800.0,13.0287,77.6685
Ibbalur Lake,2024,March,7.0,8.0,92.0,418.0,3500.0,12.922,77.666
Tubarahalli Tank,2024,March,7.0,8.0,76.0,466.0,7000.0,12.958187,77.725785
Kaikondanahalli Lake,2024,March,7.9,17.0,132.0,1370.0,7900.0,12.91627,77.737065
Agaram Lake,2024,March,7.4,14.0,145.0,658.0,2400.0,12.921,77.641
Gottigere Lake,2024,March,7.6,8.0,79.0,710.0,3500.0,12.8552,77.5878
Puttenahalli Lake,2024,March,8.0,12.0,116.0,456.0,4900.0,12.8985,77.5849
Puttenahalli Lake,2024,March,8.0,12.0,116.0,456.0,4900.0,12.89072263,77.5871604
Arakere Lake,2024,March,8.2,12.0,147.0,456.0,11000.0,12.8765,77.5991
Kalena Agrahara Lake,2024,March,8.0,5.0,48.0,396.0,4800.0,12.8624,77.5956
Singasandra Lake,2024,March,8.5,6.0,55.0,571.0186399723852,4900.0,12.8872,77.6493
Begur Tank,2024,March,7.28,11.0,103.0,680.0,7900.0,12.8814,77.6325
Parappana Agrahara Lake,2024,March,8.5,17.0,168.0,750.0,33000.0,12.8879,77.6591
Haralur Lake,2024,March,9.0,15.0,140.0,576.0,4600.0,12.89829,77.66142
Somasundrapalya Lake,2024,March,8.0,7.0,60.0,470.0,7000.0,12.89872064,77.64800365
Anekal Doddakere Tank,2024,March,7.9,4.0,45.0,796.0,2400.0,12.87466479,77.78340625
Puttenahalli Lake,2024,March,7.4,38.0,176.0,512.0,7900.0,12.8985,77.5849
Puttenahalli Lake,2024,March,7.4,38.0,176.0,512.0,7900.0,12.89072263,77.5871604
Hebbal Lake,2024,March,7.6,28.0,172.0,496.0,9400.0,13.04697661,77.58600905
Nagavara Lake,2024,March,8.2,25.0,172.0,518.0,11000.0,13.0449046,77.60895858
Jakkur Lake,2024,March,8.1,18.0,164.0,809.0,49000.0,13.08770697,77.61004718
Allalasandra Lake,2024,March,8.1,32.0,188.0,857.0,17000.0,13.09078569,77.58580537
Yelahanka Tank,2024,March,8.1,31.0,184.0,853.0,9400.0,13.0901,77.5925
Veerapura Tank,2024,March,7.6,8.0,88.0,470.0,9400.0,12.915144,77.357912
Subramanyapura Tank,2024,March,7.5,5.0,48.0,594.0,7000.0,12.89668663,77.54331633
Devarakere Tank,2024,March,7.9,11.0,104.0,202.0,9400.0,12.89808367,77.5543472
Malathahalli Lake,2024,March,7.7,7.0,84.0,824.0,2400.0,12.96467512,77.49507669
Hoskere Lake,2024,March,6.9,6.0,56.0,624.0,3500.0,12.92672778,77.48054898
Yelachenahalli Lake,2024,March,7.4,5.0,45.0,318.0,4800.0,12.89926437,77.56547215
Uttarahalli Doraikere,2024,March,6.9,40.0,273.0,1296.0,330000.0,12.90305626,77.55084832
Dhorekere Tank,2024,March,6.6,28.0,188.0,470.0,7900.0,12.93017436,77.494945
Jigani Tank,2024,March,7.8,4.0,44.0,790.0,3500.0,12.79585704,77.63284772
Benniganahalli Lake,2024,March,7.3,4.0,45.0,392.0,3500.0,12.99772381,77.66545556
Gangondanahalli Lake,2024,March,7.3,86.0,383.0,2088.0,33000000.0,12.99954081,77.4646815
Chikkabanavara Lake,2024,March,7.6,17.0,116.0,882.0,7900.0,13.08356016,77.50682992
Andhrahalli Lake,2024,March,8.0,16.0,120.0,1556.0,1587877.775488827,13.01026314,77.48646759
Kachohalli Lake,2024,March,7.6,94.0,395.0,2116.0,7000.0,13.01365684,77.45596987
"River Dakshina Pinakini Near Mugalur Bridge Mugalur, Bengaluru",2024,March,8.18,10.0,116.0,1386.0,3300000.0,12.872951,77.418758
Madhure Tank,2024,March,7.5,5.0,48.0,212.0,7900.0,13.126473,77.385632
Sarakki Lake,2024,March,7.8,4.0,44.0,650.0,3500.0,12.89941681,77.57913342
Nelamangala Lake,2024,March,6.9,10.0,99.0,1264.0,4900.0,13.08073442,77.40002615
Abbigere Lake,2024,March,7.8,20.0,133.0,966.0,9400.0,13.0791175,77.52872073
Chelekere Lake,2024,March,7.9,27.0,172.0,510.0,13000.0,13.02641201,77.6449817
Singapura Lake,2024,March,7.9,19.0,168.0,513.0,9400.0,13.08266187,77.53568704
Narasipura Lake,2024,March,8.0,17.0,168.0,520.0,33000.0,13.07260237,77.55884035
Rachenahalli Lake,2024,March,8.0,17.0,168.0,642.0,7900.0,13.06365337,77.61270948
Kogilu Kere,2024,March,8.0,29.0,172.0,515.0,4800.0,13.11015107,77.61852742
Ramammana Kere,2024,March,8.0,8.0,70.0,778.0,2400.0,12.96089629,77.22799123
Sadaramangala Lake,2024,March,7.1,19.0,128.0,580.0,4900.0,12.99966199,77.72775764
Bhattarahalli Lake,2024,March,8.5,7.0,60.0,616.0,7900.0,13.02479566,77.7086534
Kundalahalli Lake,2024,March,8.5,8.0,92.0,1046.0,3500.0,12.96854049,77.72057586
Garudacharpalya Tank,2024,March,8.1,11.0,101.0,476.0,4600.0,12.99262062,77.69630153
Rampura Lake,2024,March,6.7,74.0,488.0,1112.0,11000.0,13.04831239,77.69012069
Chinnappanahalli Lake,2024,March,8.5,9.0,84.0,430.0,3500.0,12.96611529,77.70675679
Devarabeesanahalli Lake,2024,March,7.5,18.0,156.0,678.0,9400.0,12.9231047,77.68715487
Vibhuthipura Lake,2024,March,7.8,7.0,60.0,438.0,3500.0,12.9683535,77.67578051
Nallurahalli Lake,2024,March,6.6,9.0,86.0,520.0,13000.0,12.97468741,77.7354134
Pattandur Agrahara Lake,2024,March,7.4,10.0,90.0,1552.0,9400.0,12.97655779,77.74570003
Seetharampalya Lake,2024,March,8.5,10.0,98.0,652.0,4800.0,12.98248112,77.71330594
Devasandra Lake,2024,March,6.5,16.0,133.0,430.0,33000.0,13.00543793,77.69382235
Sheelavanta-Whitefield Lake,2024,March,8.1,10.0,94.0,850.0,46000.0,12.96463102,77.74265937
Doddakannehalli Lake,2024,March,7.9,17.0,132.0,1370.0,7900.0,12.91183624,77.6928301
Kasavanahalli Lake,2024,March,7.7,5.0,48.0,680.0,2400.0,12.90544792,77.66897823
Kammasandra Lake,2024,March,7.4,90.0,369.0,1648.0,940000.0,12.918778,77.533987
Rayasandra Lake,2024,March,7.7,66.0,328.0,1562.0,7900.0,12.87037689,77.6779843
Chandapura Lake,2024,March,7.19,51.0,354.0,1736.0,490000.0,12.80573568,77.70537996
Sompura Lake,2024,March,8.7,9.0,80.0,894.0,2400.0,12.87447508,77.49860778
Hosakerehalli Lake,2024,March,6.7,17.0,114.0,724.0,3500.0,12.92636311,77.53384359
Chinnakurchi Kere,2024,March,8.8,9.0,86.0,972.0,13000.0,12.82129367,77.46615876
Machohalli Lake,2024,March,7.7,120.0,401.0,2156.0,46000.0,13.01318643,77.4546073
Doddabidarakallu Lake,2024,March,7.6,18.0,120.0,525.0,4900000.0,13.04339075,77.49562264
Kammagondanahalli Lake,2024,March,7.8,18.0,120.0,944.0,4800.0,13.06872462,77.52323601
Basavanapura Lake,2024,March,7.4,8.0,83.0,370.0,33000.0,12.84453538,77.58927218
Kodi Singasandra Lake,2024,March,7.28,5.0,55.0,670.0,4800.0,12.88226483,77.6455833
Kothanuru Lake,2024,March,7.6,7.0,63.0,320.0,11000.0,12.87403308,77.58000279
Mangamanapalya Lake(Swarana Kunte),2024,March,7.6,15.0,149.0,774.0,46000.0,12.90269634,7.639448243
"Kannahalli Lake Kannahalli, Bengaluru",2024,March,7.4,5.0,48.0,1186.0,7900.0,12.96824687,77.46185005
"Hoodi (Rajapalya Lake) Itpl Main Road, Near Hoodi,Bengaluru",2024,March,8.5,10.0,94.0,678.0,11000.0,13.039561,77.372607
"Munekolalu Lake ,Marathahalli, East Taluka ,Bengaluru",2024,March,8.4,10.0,99.0,522.0,7900.0,13.178638,77.573568
"Mahadevpuraã¢  Lake, K. R. Puram , Bangalore East Taluka",2024,March,8.5,6.0,56.0,426.0,2400.0,12.942709,77.532386
"Segehalli Lake Baavanapura Road Battarahalli , Bangalore East",2024,March,7.8,13.0,125.0,690.0,46000.0,12.910782,77.472892
"Kannamangala Lake Hoskote Main Road , Bengalore",2024,March,7.7,8.0,92.0,1326.0,13000.0,13.02935241,77.77426959
Kannur Lake Near By Hennur Road Bengalore,2024,March,7.9,8.0,80.0,994.0,7000.0,13.1032445,77.66119409
"Basavanapura Lake Ayyappa Nagr Main Road , K. R. Puram , B'Lore",2024,March,7.9,9.0,80.0,368.0,24000.0,12.939518,77.584616
"Doddakallasandra Lake,Bengaluru",2024,March,7.1,15.0,149.0,600.0,11000.0,12.88228955,77.56127506
"Ulsoor Lake Near Kalyani,Bengaluru",2024,March,6.9,8.0,72.0,492.0,11000.0,12.98288947,77.62094479
"Byrasandra Upper Lake,Bengaluru",2024,March,7.0,8.0,92.0,486.0,4600.0,12.93065731,77.59565712
"Soulkere, Kaikondrahalli Vill,Bengaluru",2024,March,7.9,9.0,92.0,1436.0,11000.0,12.91856038,77.68025593
"Kudlu Doddakere, Kudlu Vill,Bengaluru",2024,March,8.6,15.0,116.0,792.0,4900.0,12.88376503,77.66439049
"Kudlu Chikkakere, Bgp Layout Kudlu Vill ,Bengaluru",2024,March,8.5,6.0,56.0,586.0,3500.0,12.89682592,77.6551178
"Anjanapura Lake ( Avala Halli Lake) Anjanapura,Bengaluru",2024,March,7.49,6.0,55.0,306.0,7000.0,12.86550272,77.56632056
"Ulsoor Lake Training
Centre Of Fish Breeding",2023,December,8.0,8.0,96.0,222.0,54000.0,12.875026,77.447791
River Arkavathi At Tippagondanahalli Reservoir,2023,December,7.5,21.0,168.0,952.0,350000.0,12.966127,77.336189
Madiwala Tank,2023,December,6.8,11.0,104.0,425.0,16000.0,12.9734,77.3444
Lalbagh Tank,2023,December,8.4,6.0,56.0,304.0,54000.0,12.9069,77.6161
Kempambudhi Tank,2023,December,7.3,15.0,121.0,320.0,24000.0,12.9507,77.5844
Yediyur Tank,2023,December,6.8,5.0,121.0,186.0,24000.0,12.9575,77.5645
Ulsoor Lake Temple,2023,December,8.1,7.0,84.0,224.0,35000.0,12.9288,77.5794
Sankey Tank,2023,December,7.76,8.0,96.0,336.0,16000.0,12.982,77.621
Byrasandra Tank,2023,December,6.9,16.0,112.0,312.0,92000.0,13.0064,77.5755
Nayandanahalli Tank,2023,December,7.2,40.0,192.0,608.0,16000.0,13.1162,77.5759
Hesaraghatta Lake,2023,December,7.8,9.0,91.0,194.0,9200.0,13.0415,77.6152
Herohalli Tank,2023,December,7.5,5.0,67.0,268.0,92000.0,13.1368,77.4851
Anchepalya Lake,2023,December,7.2,7.0,83.0,270.0,54000.0,13.0012,77.4842
Shivapura Tank,2023,December,8.2,10.0,120.0,400.0,54000.0,13.0456,77.4828
Karihobanahalli Lake,2023,December,7.06,9.0,107.0,1458.0,350000.0,13.0294,77.5147
Bellandur Lake,2023,December,7.5,7.0,68.0,734.0,24000.0,13.0189,77.4912
Vengaiyyanakere ( Kr Puram Lake ),2023,December,6.9,13.0,115.0,1012.0,160000.0,12.930351,77.460645
Doddanekkundi Lake,2023,December,7.2,8.0,92.0,1164.0,24000.0,13.0062,77.6811
"Yelemallappa
Shetty Lake",2023,December,7.5,18.0,140.0,894.0,16000.0,13.147599,77.524712
Dasarahalli Tank,2023,December,7.5,6.0,74.0,286.0,160000.0,13.0232,77.7288
Kalkere Tank,2023,December,7.9,17.0,106.77733199598796,640.0,350000.0,13.0435,77.5141
Varthur Lake,2023,December,6.8,21.0,164.0,860.0,350000.0,13.0287,77.6685
Ibbalur Lake,2023,December,7.3,8.0,72.0,432.0,54000.0,12.922,77.666
Tubarahalli Tank,2023,December,7.8,4.0,40.0,388.0,92000.0,12.958187,77.725785
Kaikondanahalli Lake,2023,December,7.2,18.0,133.0,1314.0,350000.0,12.91627,77.737065
Agaram Lake,2023,December,7.3,5.0,49.0,420.0,16000.0,12.921,77.641
Gottigere Lake,2023,December,7.8,4.0,48.0,530.0,5400.0,12.8552,77.5878
Puttenahalli Lake,2023,December,7.7,6.0,60.0,368.0,16000.0,12.8985,77.5849
Puttenahalli Lake,2023,December,7.7,6.0,60.0,368.0,16000.0,12.89072263,77.5871604
Arakere Lake,2023,December,7.0,29.0,172.0,308.0,35000.0,12.8765,77.5991
Kalena Agrahara Lake,2023,December,7.4,13.0,116.0,370.0,5400.0,12.8624,77.5956
Hulimavu Lake,2023,December,6.8,29.0,176.0,420.0,16000.0,12.8775,77.5912
Singasandra Lake,2023,December,6.9,8.0,76.0,450.0,5400.0,12.8872,77.6493
Begur Tank,2023,December,6.9,35.0,184.0,372.0,9200.0,12.8814,77.6325
"Parappana
Agrahara Lake",2023,December,7.5,8.0,83.0,596.0,240000.0,13.03367,77.331917
Haralur Lake,2023,December,6.8,16.0,120.0,630.0,92000.0,12.89829,77.66142
Somasundrapalya Lake,2023,December,7.8,6.0,55.0,518.0,5400.0,12.89872064,77.64800365
Anekal Doddakere Tank,2023,December,7.1,8.0,79.0,536.0,24000.0,12.87466479,77.78340625
Puttenahalli Lake,2023,December,7.0,5.0,49.0,316.0,350000.0,12.8985,77.5849
Puttenahalli Lake,2023,December,7.0,5.0,49.0,316.0,350000.0,12.89072263,77.5871604
Hebbal Lake,2023,December,6.9,4.0,44.0,318.0,54000.0,13.04697661,77.58600905
Nagavara Lake,2023,December,8.1,7.2,68.0,382.0,92000.0,13.0449046,77.60895858
Jakkur Lake,2023,December,6.9,5.0,47.0,382.0,540000.0,13.08770697,77.61004718
Amruthahalli Lake,2023,December,7.9,7.3,68.0,394.0,54000.0,13.06138758,77.5987903
Allalasandra Lake,2023,December,7.1,4.0,40.0,314.0,350000.0,13.09078569,77.58580537
Yelahanka Tank,2023,December,7.0,4.0,40.0,388.0,240000.0,13.0901,77.5925
Veerapura Tank,2023,December,7.3,5.0,52.0,294.0,160000.0,13.059146,77.373133
Subramanyapura Tank,2023,December,8.2,4.0,52.0,528.0,35000.0,12.89668663,77.54331633
Devarakere Tank,2023,December,7.2,16.0,124.0,188.0,35000.0,12.89808367,77.5543472
Malathahalli Lake,2023,December,7.9,9.0,104.0,616.0,24000.0,12.96467512,77.49507669
Hoskere Lake,2023,December,6.9,7.0,75.0,410.0,92000.0,12.92672778,77.48054898
Uttarahalli Doraikere,2023,December,8.6,6.0,56.0,174.0,54000.0,12.90305626,77.55084832
Dhorekere Tank,2023,December,8.7,7.0,84.0,238.0,54000.0,12.93017436,77.494945
Jigani Tank,2023,December,7.1,8.0,74.0,588.0,54000.0,12.79585704,77.63284772
Benniganahalli Lake,2023,December,6.7,4.0,45.0,360.0,160000.0,12.99772381,77.66545556
Mathikere Tank,2023,December,8.2,6.0,74.0,278.0,350000.0,13.00974799,77.5736474
Gangondanahalli Lake,2023,December,7.2,51.0,352.0,1358.0,350000000.0,12.99954081,77.4646815
Chikkabanavara Lake,2023,December,7.3,12.0,122.0,920.0,92000.0,13.08356016,77.50682992
Andhrahalli Lake,2023,December,7.3,45.0,236.0,1472.0,240000000.0,13.01026314,77.48646759
Kachohalli Lake,2023,December,6.8,7.0,87.0,1110.0,350000.0,13.01365684,77.45596987
"River Dakshina Pinakini
Near Mugalur Bridge Mugalur, Bengaluru",2023,December,7.1,27.0,184.0,972.0,9200000.0,13.060997,77.373557
Madhure Tank,2023,December,7.0,4.0,44.0,124.0,92000.0,13.097668,77.369536
Sarakki Lake,2023,December,7.9,4.0,400.0,542.0,16000.0,12.89941681,77.57913342
Nelamangala Lake,2023,December,7.2,4.0,46.0,996.0,920000.0,13.08073442,77.40002615
Abbigere Lake,2023,December,6.8,11.0,110.0,778.0,35000.0,13.0791175,77.52872073
Chelekere Lake,2023,December,7.9,7.8,71.0,398.0,24000.0,13.02641201,77.6449817
Singapura Lake,2023,December,7.9,7.0,65.0,392.0,350000.0,13.08266187,77.53568704
Narasipura Lake,2023,December,7.7,7.4,69.0,338.0,160000.0,13.07260237,77.55884035
Rachenahalli Lake,2023,December,8.2,8.1,74.0,348.0,540000.0,13.06365337,77.61270948
Kogilu Kere,2023,December,7.9,7.3,68.0,396.0,92000.0,13.11015107,77.61852742
Viswaneedam Lake,2023,December,7.2,6.0,73.0,638.0,54000.0,12.98884671,77.49016012
Ramammana Kere,2023,December,6.7,11.0,114.0,98.0,54000.0,12.96089629,77.22799123
Sadaramangala Lake,2023,December,7.0,13.0,113.0,522.0,160000.0,12.99966199,77.72775764
Bhattarahalli Lake,2023,December,7.7,7.0,64.0,554.0,35000.0,13.02479566,77.7086534
Kundalahalli Lake,2023,December,8.2,6.0,52.0,364.0,16000.0,12.96854049,77.72057586
Garudacharpalya Tank,2023,December,6.5,15.0,135.0,510.0,54000.0,12.99262062,77.69630153
Rampura Lake,2023,December,7.0,17.0,116.0,420.0,240000.0,13.04831239,77.69012069
Chinnappanahalli Lake,2023,December,7.5,6.0,70.0,662.0,24000.0,12.96611529,77.70675679
Devarabeesanahalli Lake,2023,December,7.6,6.0,59.0,386.0,92000.0,12.9231047,77.68715487
Vibhuthipura Lake,2023,December,7.5,7.0,67.0,270.0,16000.0,12.9683535,77.67578051
Nallurahalli Lake,2023,December,6.8,4.0,40.0,406.0,54000.0,12.97468741,77.7354134
"Pattandur
Agrahara Lake",2023,December,7.3,4.0,44.0,1158.0,24000.0,12.996701,77.575178
Seetharampalya Lake,2023,December,6.9,4.0,40.0,698.0,35000.0,12.98248112,77.71330594
Devasandra Lake,2023,December,6.5,4.0,40.0,270.0,9200.0,13.00543793,77.69382235
"Sheelavanta-
Whitefield Lake",2023,December,8.2,4.0,45.0,802.0,92000.0,13.068728,77.469624
Doddakannehalli Lake,2023,December,6.9,7.0,61.0,368.0,240000.0,12.91183624,77.6928301
Kammasandra Lake,2023,December,7.7,17.0,112.0,1384.0,35000000.0,13.16922,77.306992
Rayasandra Lake,2023,December,7.7,20.0,137.0,1165.0,5400000.0,12.87037689,77.6779843
Chandapura Lake,2023,December,7.8,18.0,117.0,1328.0,2400000.0,12.80573568,77.70537996
Ullalu Lake,2023,December,6.58,6.0,74.0,540.0,350000.0,12.9609124,77.4804805
Sompura Lake,2023,December,8.2,4.0,36.0,738.0,92000.0,12.87447508,77.49860778
Gubbalal Lake,2023,December,6.8,39.0,116.0,206.0,160000.0,12.88094395,77.54067908
Hosakerehalli Lake,2023,December,7.2,4.0,44.0,510.0,92000.0,12.92636311,77.53384359
Chinnakurchi Kere,2023,December,8.2,7.0,74.0,710.0,9200.0,12.82129367,77.46615876
Machohalli Lake,2023,December,7.38,6.0,74.0,1478.0,240000.0,13.01318643,77.4546073
Doddabidarakallu Lake,2023,December,7.14,20.0,227.0,1022.0,92000.0,13.04339075,77.49562264
"Kammagondanahalli
Lake",2023,December,7.5,6.0,70.0,662.0,24000.0,13.140041,77.527551
Alur Lake,2023,December,6.9,11.0,105.0,100.0,16000.0,13.09743325,77.45848496
Basavanapura Lake,2023,December,7.8,5.0,60.0,276.0,9200.0,12.84453538,77.58927218
Kodi Singasandra Lake,2023,December,7.1,8.0,77.0,360.0,9200.0,12.88226483,77.6455833
Kothanuru Lake,2023,December,7.1,7.0,64.0,290.0,54000.0,12.87403308,77.58000279
"Mangamanapalya Lake
(Swarana Kunte)",2023,December,7.3,6.0,50.0,432.0,9200.0,12.940859,77.332152
"Kannahalli Lake Kannahalli,
Bengaluru",2023,December,7.5,8.0,82.0,792.0,16000.0,12.943019,77.455135
